Advait Sharma

Ishani Iyer

Vihaan Malhotra

Ananya Chatterjee

Reyansh Gill

Myra Deshmukh

Kabir Varma

Diya Reddy

Zoya Khan

Aarav Joshi

Inaya Bhatia

Vivaan Kulkarni

Shanaya Bose

Arjun Pillai

Kiara Saxena

Sai Subramanian

Navya Mittal

Ishaan Hegde

Tara Banerjee

Aryan Nair

Avni Choudhury

Dev Grewal

Saanvi Bhatt

Atharv Patil

Rhea Kapur

Ayaan Siddiqui

Amara Acharya

Shaurya Gupta

Vedika Rathore

Krish Agarwal

Zara D’Souza

Dhruv Mehra

Ira Goswami

Hriday Sangwan

Kyra Phukan

Advik Mahajan

Mira Sen

Yuvan Nambiar

Jiya Chawla

Siddharth Mistry

Amaira Chauhan

Veer Dhillon

Prisha Khurana

Nihal Pandey

Sara Abraham

Rudra Thakur

Kavya Menon

Ranveer Singh

Sana Mirza

Kian Shrivastav

Nyra Bansal

Eshan Tripathi

Ojasvi Mukherjee

Reva Dwivedi

Tushar Dalvi

Hazel Fernandes

Darsh Negi

Mishti Goel

Naksh Bhandari

Advika Sood

Armaan Qureshi

Rishi Ranganathan

Aadya Menon

Devansh Dasgupta

Gurbir Sidhu

Zahan Engineer

Myreen Grewal

Agam Virk

Ishita Nambiar

Parthiv Buch

Anvi Deshpande

Ronit Bhattacharya

Samira Gundavarapu

Vivaan Iyengar

Kiara Dubey

Advik Bhowmick

Inara Qazi

Madhav Warrier

Saisha Chhabra

Reyansh Vats

Diya Kapadia

Arhaan Rizvi

Myra Hegde

Yuvan Sarma

Vedika Kothari

Kabir Sodhi

Navya Balan

Nihal Shenoy

Tara Vasudevan

Aarav Mungli

Ruhi Aggarwal

Shaurya Mahanta

Alisha Contractor

Tushar Bora

Prisha Jain

Eshan Sawant

Zara Masood

Hriday Gokhale

Mishti Sen

Naksh Juneja

Amara Venkatesh

Aryan Malpani

Bhavya Sanghi

Siddharth Rawal

Gauri Tandon

Atharv Chitnis

Pavni Dhar

Tejas Saluja

Siya Bhalla

Jai Khosla

Tanvi Deol

Krishav Mehta

Ahana Rajpoot

Daksh Somaiya

Nimrat Brar

Moksh Vardhan

Falak Sheikh

Ritvik Gambhir

Meher Sandhu

Saksham Goenka

Keya Doshi

Varun Gahlot

Navni Jaiswal

Laksh Singhania

Heera Kamat

Tanmay Lodha

Idhika Bajaj

